x N0 N1 N2 N3 N4 N5 N6
0.702 0 0 0 0.12005 0.7499 0.13005 0 
0.704 0 0 0 0.1152 0.7496 0.1352 0 
0.706 0 0 0 0.11045 0.7491 0.14045 0 
0.708 0 0 0 0.1058 0.7484 0.1458 0 
0.71 0 0 0 0.10125 0.7475 0.15125 0 
0.712 0 0 0 0.0968 0.7464 0.1568 0 
0.714 0 0 0 0.09245 0.7451 0.16245 0 
0.716 0 0 0 0.0882 0.7436 0.1682 0 
0.718 0 0 0 0.08405 0.7419 0.17405 0 
0.72 0 0 0 0.08 0.74 0.18 0 
0.722 0 0 0 0.07605 0.7379 0.18605 0 
0.724 0 0 0 0.0722 0.7356 0.1922 0 
0.726 0 0 0 0.06845 0.7331 0.19845 0 
0.728 0 0 0 0.0648 0.7304 0.2048 0 
0.73 0 0 0 0.06125 0.7275 0.21125 0 
0.732 0 0 0 0.0578 0.7244 0.2178 0 
0.734 0 0 0 0.05445 0.7211 0.22445 0 
0.736 0 0 0 0.0512 0.7176 0.2312 0 
0.738 0 0 0 0.04805 0.7139 0.23805 0 
0.74 0 0 0 0.045 0.71 0.245 0 
0.742 0 0 0 0.04205 0.7059 0.25205 0 
0.744 0 0 0 0.0392 0.7016 0.2592 0 
0.746 0 0 0 0.03645 0.6971 0.26645 0 
0.748 0 0 0 0.0338 0.6924 0.2738 0 
0.75 0 0 0 0.03125 0.6875 0.28125 0 
0.752 0 0 0 0.0288 0.6824 0.2888 0 
0.754 0 0 0 0.02645 0.6771 0.29645 0 
0.756 0 0 0 0.0242 0.6716 0.3042 0 
0.758 0 0 0 0.02205 0.6659 0.31205 0 
0.76 0 0 0 0.02 0.66 0.32 0 
0.762 0 0 0 0.01805 0.6539 0.32805 0 
0.764 0 0 0 0.0162 0.6476 0.3362 0 
0.766 0 0 0 0.01445 0.6411 0.34445 0 
0.768 0 0 0 0.0128 0.6344 0.3528 0 
0.77 0 0 0 0.01125 0.6275 0.36125 0 
0.772 0 0 0 0.0098 0.6204 0.3698 0 
0.774 0 0 0 0.00845 0.6131 0.37845 0 
0.776 0 0 0 0.0072 0.6056 0.3872 0 
0.778 0 0 0 0.00605 0.5979 0.39605 0 
0.78 0 0 0 0.005 0.59 0.405 0 
0.782 0 0 0 0.00405 0.5819 0.41405 0 
0.784 0 0 0 0.0032 0.5736 0.4232 0 
0.786 0 0 0 0.00245 0.5651 0.43245 0 
0.788 0 0 0 0.0018 0.5564 0.4418 0 
0.79 0 0 0 0.00125 0.5475 0.45125 0 
0.792 0 0 0 0.0008 0.5384 0.4608 0 
0.794 0 0 0 0.00045 0.5291 0.47045 0 
0.796 0 0 0 0.0002 0.5196 0.4802 0 
0.798 0 0 0 5e-05 0.5099 0.49005 0 
0.8 0 0 0 0 0.5 0.5 0 
0.802 0 0 0 0 0.49005 0.50985 0.0001 
0.804 0 0 0 0 0.4802 0.5194 0.0004 
0.806 0 0 0 0 0.47045 0.52865 0.0009 
0.808 0 0 0 0 0.4608 0.5376 0.0016 
0.81 0 0 0 0 0.45125 0.54625 0.0025 
0.812 0 0 0 0 0.4418 0.5546 0.0036 
0.814 0 0 0 0 0.43245 0.56265 0.0049 
0.816 0 0 0 0 0.4232 0.5704 0.0064 
0.818 0 0 0 0 0.41405 0.57785 0.0081 
0.82 0 0 0 0 0.405 0.585 0.01 
0.822 0 0 0 0 0.39605 0.59185 0.0121 
0.824 0 0 0 0 0.3872 0.5984 0.0144 
0.826 0 0 0 0 0.37845 0.60465 0.0169 
0.828 0 0 0 0 0.3698 0.6106 0.0196 
0.83 0 0 0 0 0.36125 0.61625 0.0225 
0.832 0 0 0 0 0.3528 0.6216 0.0256 
0.834 0 0 0 0 0.34445 0.62665 0.0289 
0.836 0 0 0 0 0.3362 0.6314 0.0324 
0.838 0 0 0 0 0.32805 0.63585 0.0361 
0.84 0 0 0 0 0.32 0.64 0.04 
0.842 0 0 0 0 0.31205 0.64385 0.0441 
0.844 0 0 0 0 0.3042 0.6474 0.0484 
0.846 0 0 0 0 0.29645 0.65065 0.0529 
0.848 0 0 0 0 0.2888 0.6536 0.0576 
0.85 0 0 0 0 0.28125 0.65625 0.0625 
